# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	255488
#@/user_id	1cfc3a97-9b12-4da7-829a-4855531e8276
a 	啊	c=1034 d=1.25136 t=255488
mao 	毛	c=9 d=0.0213864 t=255488
mao 	貓	c=4 d=3.74788e-14 t=255488
mao a min 	毛阿敏	c=1 d=4.81074e-10 t=255488
mao bing 	毛病	c=1 d=5.0314e-302 t=255488
mao dou 	毛豆	c=1 d=5.69938e-298 t=255488
mao dun 	矛盾	c=4 d=6.31965e-63 t=255488
mao jia wan 	毛家灣	c=1 d=1.89152e-28 t=255488
mao jin 	毛巾	c=1 d=3.41287e-30 t=255488
mao lv 	毛驢	c=1 d=9.97928e-06 t=255488
mao mao 	毛毛	c=3 d=1.00048e-35 t=255488
mao mao 	貓貓	c=1 d=1.63605e-115 t=255488
mao mao chong 	毛毛蟲	c=1 d=3.06309e-52 t=255488
mao ni 	貓膩	c=2 d=2.71972e-300 t=255488
mao niu 	犛牛	c=2 d=6.19989e-75 t=255488
mao pi 	毛坯	c=13 d=1.77704e-05 t=255488
mao pi fang 	毛坯房	c=1 d=0 t=255488
mao pian 	毛騙	c=2 d=0.0159332 t=255488
mao qi feng 	毛奇峯	c=1 d=2.96095e-06 t=255488
mao rong rong 	毛茸茸	c=1 d=4.35576e-47 t=255488
mao si 	貌似	c=2 d=0.0376283 t=255488
mao tai 	茅臺	c=3 d=4.91545e-28 t=255488
mao tan 	毛毯	c=2 d=4.78252e-29 t=255488
mao wei ning 	毛偉寧	c=2 d=6.10121e-48 t=255488
mao xian 	冒險	c=1 d=4.99334e-154 t=255488
mao xiao qing 	毛小青	c=1 d=1.88209e-28 t=255488
mao xue wang 	毛血旺	c=1 d=0 t=255488
mao yan 	貓眼	c=1 d=1.22561e-11 t=255488
mao yao 	貓妖	c=4 d=1.5014e-13 t=255488
mao yi zhan 	貿易戰	c=1 d=0 t=255488
mao ze dong 	毛澤東	c=2 d=2.11499e-10 t=255488
mao zhu 	毛竹	c=1 d=0 t=255488
mao zi 	帽子	c=1 d=0 t=255488
me 	麼	c=62 d=0.00107547 t=255488
me me 	麼麼	c=0 d=0.1 t=251864
me wen ti 	麼問題	c=1 d=0 t=255488
mei 	梅	c=5 d=7.19757e-44 t=255488
mei 	每	c=9 d=0.0948935 t=255488
mei 	沒	c=1951 d=2.06669 t=255488
mei 	煤	c=1 d=4.5235e-21 t=255488
mei 	美	c=12 d=7.48112e-28 t=255488
mei a 	沒啊	c=2 d=3.01065e-231 t=255488
mei a 	美啊	c=6 d=6.41916e-21 t=255488
mei ban fa 	沒辦法	c=44 d=0.122465 t=255488
mei bi 	每筆	c=2 d=1.14381e-257 t=255488
mei bi fen 	沒比分	c=1 d=7.42581e-321 t=255488
mei bi yao 	沒必要	c=5 d=1.13431e-12 t=255488
mei bian 	沒變	c=8 d=4.71052e-27 t=255488
mei bie de 	沒別的	c=1 d=1.44264e-223 t=255488
mei bu 	每部	c=1 d=1.18462e-52 t=255488
mei cai 	沒菜	c=1 d=0 t=255488
mei cai kou rou 	梅菜扣肉	c=4 d=3.94198e-05 t=255488
mei ce 	沒測	c=1 d=1.94856e-289 t=255488
mei ceng 	每層	c=1 d=0 t=255488
mei cha 	沒差	c=1 d=7.47349e-16 t=255488
mei chai 	沒拆	c=1 d=1.60589e-102 t=255488
mei chi 	沒吃	c=15 d=6.92087e-06 t=255488
mei chi dao 	沒遲到	c=1 d=1.14707e-26 t=255488
mei chi guo 	沒吃過	c=1 d=1.95019e-05 t=255488
mei chi wan 	沒吃完	c=3 d=2.78028e-30 t=255488
mei chu 	每處	c=1 d=0.000177774 t=255488
mei chu lai 	沒出來	c=1 d=3.10717e-73 t=255488
mei chu qu 	沒出去	c=1 d=0.000889368 t=255488
mei chu wan 	沒出完	c=1 d=0 t=255488
mei chuan 	沒傳	c=4 d=6.83635e-144 t=255488
mei chuan guo lai 	沒傳過來	c=1 d=0 t=255488
mei ci 	每次	c=32 d=0.0236356 t=255488
mei ci 	美瓷	c=1 d=1.20025e-206 t=255488
mei cuo 	沒錯	c=2 d=5.40462e-144 t=255488
mei da 	沒打	c=1 d=3.78788e-80 t=255488
mei dai 	沒帶	c=5 d=2.01965e-05 t=255488
mei dao 	每到	c=2 d=1.54307e-15 t=255488
mei dao li 	沒道理	c=1 d=6.27907e-173 t=255488
mei de 	沒得	c=1 d=0 t=255488
mei di 	沒地	c=2 d=1.13965e-126 t=255488
mei di 	美的	c=5 d=8.12103e-23 t=255488
mei di fang 	沒地方	c=2 d=4.15348e-17 t=255488
mei dian 	沒電	c=5 d=2.17207e-08 t=255488
mei dong 	沒動	c=6 d=5.2846e-27 t=255488
mei dong 	沒懂	c=1 d=3.67683e-171 t=255488
mei dun 	沒燉	c=1 d=2.89784e-311 t=255488
mei duo 	沒多	c=1 d=1.35331e-30 t=255488
mei duo jiu 	沒多久	c=1 d=4.33344e-16 t=255488
mei duo shao 	沒多少	c=2 d=1.90505e-288 t=255488
mei fa 	沒法	c=35 d=0.445769 t=255488
mei fa gao 	沒法搞	c=1 d=1 t=254796
mei fa xian 	沒發現	c=3 d=1.31259e-125 t=255488
mei fa yong 	沒法用	c=1 d=1.63511e-167 t=255488
mei fan ying 	沒反應	c=5 d=6.25124e-82 t=255488
mei fei yong 	沒費用	c=2 d=3.2168e-118 t=255488
mei feng 	每逢	c=2 d=2.05329e-218 t=255488
mei feng 	美縫	c=6 d=3.52402e-201 t=255488
mei gai 	沒改	c=7 d=2.0933e-44 t=255488
mei gan 	沒幹	c=3 d=3.62232e-113 t=255488
mei gan 	沒敢	c=0 d=1.88963e-311 t=255488
mei gan cai 	梅乾菜	c=1 d=1.24073e-302 t=255488
mei gan huo 	沒幹活	c=1 d=2.19675e-82 t=255488
mei gan shang 	沒趕上	c=1 d=4.09443e-25 t=255488
mei gan shi 	沒敢試	c=1 d=1.8991e-310 t=255488
mei gao 	沒搞	c=1 d=1.27078e-25 t=255488
mei ge 	每個	c=48 d=0.14228 t=255488
mei ge ren 	每個人	c=4 d=7.80475e-85 t=255488
mei ge yue 	每個月	c=8 d=8.90276e-16 t=255488
mei gei 	沒給	c=4 d=0.247833 t=255488
mei gong 	美工	c=1 d=0 t=255488
mei guan 	沒關	c=7 d=1.18299e-87 t=255488
mei guan xi 	沒關係	c=8 d=0.105399 t=255488
mei gui 	沒貴	c=1 d=0 t=255488
mei gui 	玫瑰	c=1 d=1.89319e-09 t=255488
mei guo 	沒過	c=1 d=4.76763e-198 t=255488
mei guo 	美國	c=12 d=6.03711e-05 t=255488
mei guo qu 	沒過去	c=1 d=1.44681e-110 t=255488
mei guo ren 	美國人	c=1 d=1.1102e-259 t=255488
mei guo wang shi 	美國往事	c=1 d=1.03116e-08 t=255488
mei hao 	沒好	c=2 d=7.09335e-137 t=255488
mei hao 	沒號	c=6 d=3.02128e-08 t=255488
mei he 	沒喝	c=4 d=2.62292e-21 t=255488
mei huan 	沒換	c=1 d=3.21647e-303 t=255488
mei hui 	沒回	c=2 d=0 t=255488
mei hui fu 	沒回覆	c=2 d=1.43661e-115 t=255488
mei huo 	沒貨	c=2 d=6.39476e-35 t=255488
mei ji ge 	沒幾個	c=1 d=6.89353e-95 t=255488
mei ji hang 	沒幾行	c=1 d=1.33895e-316 t=255488
mei ji shang 	沒擠上	c=1 d=0 t=255488
mei jia 	每家	c=2 d=2.46204e-41 t=255488
mei jian 	沒見	c=6 d=1.22203e-06 t=255488
mei jiao 	沒交	c=2 d=0 t=255488
mei jie 	沒接	c=1 d=3.15983e-153 t=255488
mei ju 	枚舉	c=59 d=0.505158 t=255488
mei ju 	美劇	c=1 d=0 t=255488
mei ju lei 	枚舉類	c=1 d=1 t=254583
mei ju ti 	沒具體	c=1 d=1.08039e-86 t=255488
mei kai 	沒開	c=5 d=1.29129e-89 t=255488
mei kan 	沒看	c=22 d=0.015259 t=255488
mei kan chu lai 	沒看出來	c=2 d=6.30778e-256 t=255488
mei kan dao 	沒看到	c=3 d=2.99583e-173 t=255488
mei kan dong 	沒看懂	c=1 d=1.03754e-322 t=255488
mei kong 	沒空	c=1 d=6.99012e-141 t=255488
mei kong zhi zhu 	沒控制住	c=1 d=3.74445e-62 t=255488
mei ku 	沒哭	c=1 d=0 t=255488
mei lai 	沒來	c=4 d=1.31516e-164 t=255488
mei le 	沒了	c=4 d=6.94906e-13 t=255488
mei le 	美樂	c=1 d=3.57493e-17 t=255488
mei li 	美麗	c=0 d=4.37327e-07 t=255488
mei li ren sheng 	美麗人生	c=1 d=4.39519e-06 t=255488
mei li wo 	沒理我	c=1 d=0 t=255488
mei li you 	沒理由	c=2 d=2.49884e-186 t=255488
mei lian xi 	沒聯繫	c=1 d=8.32662e-23 t=255488
mei liang 	沒量	c=1 d=0 t=255488
mei liang ge 	沒兩個	c=1 d=2.40807e-280 t=255488
mei lin 	梅林	c=1 d=1.65508e-104 t=255488
mei lin 	美林	c=3 d=6.40586e-26 t=255488
mei mei 	妹妹	c=2 d=4.45245e-20 t=255488
mei miao 	每秒	c=5 d=4.65492e-05 t=255488
mei na 	沒拿	c=4 d=9.75808e-07 t=255488
mei na chu lai 	沒拿出來	c=1 d=2.19684e-200 t=255488
mei ne 	沒呢	c=4 d=7.87221e-98 t=255488
mei nian 	每年	c=6 d=0.0162226 t=255488
mei nian 	美年	c=2 d=0.560262 t=255488
mei nong 	沒弄	c=3 d=6.86783e-198 t=255488
mei pai 	沒拍	c=1 d=0 t=255488
mei pi 	每批	c=1 d=9.69722e-51 t=255488
mei piao 	沒票	c=4 d=9.28691e-13 t=255488
mei qi 	每期	c=3 d=5.82432e-24 t=255488
mei qian 	沒錢	c=12 d=0.132655 t=255488
mei qu 	沒去	c=8 d=0.00744658 t=255488
mei quan xian 	沒權限	c=3 d=7.17533e-37 t=255488
mei rang 	沒讓	c=1 d=6.86038e-244 t=255488
mei rang ta 	沒讓他	c=1 d=0 t=255488
mei ren 	媒人	c=1 d=0.102797 t=255488
mei ren 	沒人	c=26 d=0.00531307 t=255488
mei ren dong 	沒人懂	c=1 d=4.59489e-205 t=255488
mei ren guan 	沒人管	c=1 d=4.2915e-78 t=255488
mei ren mai 	沒人買	c=1 d=0.053397 t=255488
mei ren shuo 	沒人說	c=1 d=2.10077e-320 t=255488
mei ren yong 	沒人用	c=3 d=6.98367e-42 t=255488
mei ri 	每日	c=11 d=4.41107e-20 t=255488
mei ri you xian 	每日優先	c=1 d=4.43318e-19 t=255488
mei rong 	美容	c=4 d=6.37923e-53 t=255488
mei rou 	沒肉	c=1 d=0 t=255488
mei sha 	沒啥	c=75 d=0.260715 t=255488
mei sha ren 	沒啥人	c=2 d=6.57361e-36 t=255488
mei sha yi si 	沒啥意思	c=1 d=7.2761e-54 t=255488
mei sha yong 	沒啥用	c=7 d=3.62834e-15 t=255488
mei shan 	眉山	c=1 d=0 t=255488
mei shang 	沒上	c=6 d=1.16263e-08 t=255488
mei she ji 	沒涉及	c=1 d=2.08559e-265 t=255488
mei shen me 	沒什麼	c=1 d=0 t=255488
mei sheng xiao 	沒生效	c=1 d=6.19592e-222 t=255488
mei sheng yin 	沒聲音	c=1 d=2.27113e-62 t=255488
mei shi 	沒事	c=98 d=0.407009 t=255488
mei shi 	美食	c=1 d=1.58673e-197 t=255488
mei shi cheng 	美食城	c=1 d=1.59469e-196 t=255488
mei shi jian 	沒時間	c=6 d=6.96349e-08 t=255488
mei shou dao 	沒收到	c=2 d=2.05962e-59 t=255488
mei shu 	沒樹	c=1 d=0 t=255488
mei shu 	美術	c=5 d=8.02356e-28 t=255488
mei shu ju 	沒數據	c=2 d=1.15165e-161 t=255488
mei shui 	沒睡	c=4 d=3.82127e-95 t=255488
mei shuo 	沒說	c=40 d=0.0754074 t=255488
mei shuo sha 	沒說啥	c=1 d=2.54682e-292 t=255488
mei song 	沒送	c=1 d=8.72054e-08 t=255488
mei su 	美素	c=1 d=0 t=255488
mei su jia er 	美素佳兒	c=1 d=0 t=255488
mei tai 	每臺	c=2 d=1.69386e-53 t=255488
mei tai 	沒太	c=1 d=3.66906e-58 t=255488
mei tan 	沒談	c=1 d=5.85618e-235 t=255488
mei te si bang wei 	美特斯邦威	c=1 d=1.12327e-279 t=255488
mei ti 	媒體	c=3 d=0 t=255488
mei ti 	沒提	c=1 d=6.48614e-143 t=255488
mei ti jiao 	沒提交	c=1 d=9.0821e-221 t=255488
mei tian 	每天	c=25 d=3.46574e-05 t=255488
mei tian 	沒填	c=2 d=4.73855e-273 t=255488
mei tiao 	每條	c=4 d=4.83321e-06 t=255488
mei ting 	沒聽	c=2 d=1.31514e-172 t=255488
mei ting sai 	沒停賽	c=1 d=6.48708e-321 t=255488
mei ting shuo 	沒聽說	c=1 d=0 t=255488
mei tong 	沒通	c=3 d=1.62268e-120 t=255488
mei tu 	美圖	c=2 d=1.32791e-13 t=255488
mei tuan 	美團	c=45 d=5.13679e-05 t=255488
mei tui 	沒退	c=1 d=7.28601e-70 t=255488
mei wan 	沒完	c=1 d=1.27429e-175 t=255488
mei wei 	每位	c=1 d=0 t=255488
mei wen 	沒問	c=19 d=1.22244e-10 t=255488
mei wen ti 	沒問題	c=75 d=0.0977834 t=255488
mei wen ti ba 	沒問題吧	c=1 d=0 t=255488
mei wen ti le 	沒問題了	c=1 d=0 t=255488
mei wo 	沒我	c=1 d=0 t=255488
mei xi 	梅西	c=1 d=0 t=255488
mei xi 	沒戲	c=1 d=4.2858e-33 t=255488
mei xia ban 	沒下班	c=1 d=0 t=255488
mei xian zhi 	沒限制	c=2 d=9.91439e-135 t=255488
mei xiang 	每項	c=1 d=5.12431e-282 t=255488
mei xiang zhe 	沒想着	c=1 d=3.95253e-323 t=255488
mei xiao shi 	每小時	c=1 d=0.128093 t=255488
mei xiu fu 	沒修復	c=1 d=1.20712e-38 t=255488
mei xuan 	沒選	c=1 d=8.49482e-23 t=255488
mei xue 	沒學	c=1 d=3.02118e-37 t=255488
mei xue qi 	沒學期	c=1 d=2.8272e-21 t=255488
mei yan se 	沒眼色	c=1 d=1.52851e-168 t=255488
mei yang shi 	沒樣式	c=2 d=1.2159e-182 t=255488
mei yao qiu 	沒要求	c=1 d=9.79945e-233 t=255488
mei ye 	美業	c=2 d=1.62497e-182 t=255488
mei yi bu 	每一步	c=2 d=1.62634e-45 t=255488
mei yi nian 	每一年	c=1 d=5.04331e-36 t=255488
mei yi si 	沒意思	c=1 d=0 t=255488
mei ying xiang 	沒影響	c=7 d=1.05683e-62 t=255488
mei yong 	沒用	c=28 d=0.109154 t=255488
mei you 	沒有	c=708 d=0.89816 t=255488
mei you de 	沒有的	c=2 d=2.36067e-17 t=255488
mei you li 	沒有裏	c=1 d=0.00860854 t=255488
mei you mei 	沒有沒	c=1 d=1.66939e-117 t=255488
mei you ti 	沒有提	c=1 d=0 t=255488
mei you zhi 	沒有紙	c=1 d=5.39796e-12 t=255488
mei you zhong duan 	沒有中斷	c=1 d=1 t=252529
mei yu 	梅雨	c=3 d=1.3782e-32 t=255488
mei yuan 	美元	c=3 d=7.09396e-173 t=255488
mei yue 	每月	c=7 d=0.044601 t=255488
mei zai 	沒在	c=5 d=0.000101039 t=255488
mei zhang 	沒漲	c=2 d=1.12535e-07 t=255488
mei zhao 	沒招	c=1 d=5.58294e-321 t=255488
mei zhao dao 	沒找到	c=1 d=3.41287e-30 t=255488
mei zhe 	沒轍	c=1 d=1.6169e-06 t=255488
mei zheng 	沒證	c=3 d=1.26131e-84 t=255488
mei zhi ding 	沒指定	c=1 d=0 t=255488
mei zhi fu 	沒支付	c=1 d=7.84477e-292 t=255488
mei zhi yuan 	美汁源	c=1 d=1.41459e-51 t=255488
mei zhong 	每種	c=4 d=9.36559e-24 t=255488
mei zhou 	每週	c=3 d=0.0706512 t=255488
mei zhou 	眉州	c=4 d=0.733447 t=255488
mei zhou xiao chi 	眉州小吃	c=3 d=7.75624e-34 t=255488
mei zhu yi 	沒主意	c=4 d=2.02223e-255 t=255488
mei zou 	沒走	c=5 d=1.11371e-208 t=255488
mei zuo 	沒做	c=3 d=2.11506e-49 t=255488
mei zuo wan 	沒做完	c=1 d=2.12566e-48 t=255488
men 	們	c=78 d=0.157328 t=255488
men 	燜	c=1 d=6.27794e-24 t=255488
men 	門	c=86 d=9.14251e-05 t=255488
men chuang 	門窗	c=3 d=3.10684e-13 t=255488
men dian 	門店	c=15 d=0.838634 t=255488
men jin 	門禁	c=1 d=0 t=255488
men kan 	門檻	c=9 d=4.16099e-97 t=255488
men kan shi 	門檻石	c=4 d=4.06409e-202 t=255488
men kou 	門口	c=14 d=2.12589e-15 t=255488
men kou dai 	門口貸	c=2 d=3.17068e-17 t=255488
men kuang 	門框	c=1 d=1.25293e-182 t=255488
men ling 	們鈴	c=1 d=3.98888e-100 t=255488
men ling 	門鈴	c=3 d=1.2465e-55 t=255488
men men 	燜燜	c=2 d=0.0137049 t=255488
men mian 	燜麪	c=1 d=9.71437e-13 t=255488
men pai 	門派	c=0 d=8.74729e-45 t=255488
men pai 	門牌	c=2 d=0 t=255488
men piao 	門票	c=3 d=4.95725e-10 t=255488
men qian 	門前	c=2 d=0.000547581 t=255488
men shang 	門上	c=1 d=7.87706e-164 t=255488
men tao 	門套	c=1 d=2.42375e-180 t=255488
men tou 	門頭	c=1 d=2.59924e-74 t=255488
men tou zhao 	門頭照	c=2 d=8.20378e-54 t=255488
men wei 	門衛	c=1 d=2.71925e-298 t=255488
men xi 	門吸	c=1 d=7.22364e-204 t=255488
men ya 	門牙	c=2 d=3.49337e-304 t=255488
men zhen 	門診	c=2 d=4.55105e-298 t=255488
meng 	夢	c=1 d=2.05795e-167 t=255488
meng 	猛	c=1 d=0 t=255488
meng 	蒙	c=3 d=4.6963e-109 t=255488
meng bi 	矇蔽	c=1 d=0 t=255488
meng dao 	夢到	c=1 d=0 t=255488
meng lu si te na 	孟魯司特鈉	c=1 d=3.37478e-45 t=255488
meng mian 	蒙面	c=2 d=0 t=255488
meng xiang 	夢想	c=1 d=7.25608e-51 t=255488
meng xing 	夢醒	c=0 d=0 t=255488
meng xing shi fen 	夢醒時分	c=1 d=0 t=255488
mi 	冪	c=2 d=3.70017e-216 t=255488
mi 	米	c=15 d=0.527292 t=255488
mi 	蜜	c=1 d=1.8691e-211 t=255488
mi deng 	冪等	c=5 d=2.76762e-22 t=255488
mi deng xing 	冪等性	c=1 d=2.63606e-21 t=255488
mi fan 	米飯	c=9 d=3.99823e-10 t=255488
mi fen 	米粉	c=7 d=1.69397e-10 t=255488
mi fen wei 	米粉味	c=1 d=1.23412e-298 t=255488
mi feng 	密封	c=1 d=4.58469e-32 t=255488
mi feng 	蜜蜂	c=4 d=0.0156584 t=255488
mi hou tao 	獼猴桃	c=1 d=6.76574e-22 t=255488
mi huan 	蜜獾	c=3 d=0.00131173 t=255488
mi ji 	密集	c=1 d=0 t=255488
mi kuai 	米快	c=1 d=0 t=255488
mi ma 	密碼	c=358 d=0.809357 t=255488
mi mi 	咪咪	c=1 d=4.208e-229 t=255488
mi mi 	祕密	c=3 d=0.158025 t=255488
mi mi ma ma 	密密麻麻	c=0 d=0 t=255488
mi mi ma ma mei 	密密麻麻沒	c=1 d=0 t=255488
mi mi ma ma mei mi mi ma ma mei mi mi ma ma mei mi mi ma ma mei mi mi ma ma mei mi mi ma ma mei mi mi ma ma mei mi mi ma ma mei mi ma mi mi ma ma mei 	密密麻麻沒密密麻麻沒密密麻麻沒密密麻麻沒密密麻麻沒密密麻麻沒密密麻麻沒密密麻麻沒密碼密密麻麻沒	c=1 d=0 t=255488
mi ni 	迷你	c=1 d=0 t=255488
mi tang 	密堂	c=1 d=1.8505e-211 t=255488
mi tang 	蜜堂	c=10 d=8.83728e-153 t=255488
mi tou 	米投	c=12 d=0.00155013 t=255488
mi tu 	米兔	c=1 d=1.61712e-37 t=255488
mi wu 	迷霧	c=3 d=4.64006e-35 t=255488
mi xian 	米線	c=4 d=0.000464291 t=255488
mi xin 	迷信	c=1 d=0 t=255488
mi yao 	密鑰	c=69 d=0.185444 t=255488
mi zhe 	眯着	c=1 d=1.58582e-248 t=255488
mi zhi 	祕製	c=2 d=8.92729e-10 t=255488
mi zhu 	米豬	c=1 d=0 t=255488
mian 	免	c=6 d=0.0258615 t=255488
mian 	棉	c=2 d=7.04186e-22 t=255488
mian 	麪	c=64 d=0.0110536 t=255488
mian ban 	面板	c=6 d=0.83527 t=255488
mian bao 	麪包	c=7 d=4.89692e-13 t=255488
mian bao ji 	麪包機	c=12 d=8.86892e-30 t=255488
mian de 	免得	c=1 d=5.78228e-27 t=255488
mian deng lu 	麪登錄	c=1 d=9.90363e-181 t=255488
mian dui 	面對	c=1 d=1.92541e-31 t=255488
mian dui mian 	面對面	c=1 d=0 t=255488
mian fei 	免費	c=28 d=0.511709 t=255488
mian fei shi yong 	免費使用	c=1 d=0 t=255488
mian fen 	麪粉	c=3 d=2.01013e-30 t=255488
mian guan 	麪館	c=1 d=4.56275e-05 t=255488
mian ji 	面積	c=25 d=0.657042 t=255488
mian ji da 	面積大	c=1 d=0 t=255488
mian jin 	麪筋	c=1 d=4.35813e-24 t=255488
mian lin 	面臨	c=1 d=1.01582e-302 t=255488
mian ma 	麪嗎	c=1 d=0 t=255488
mian mian 	面面	c=2 d=2.75366e-12 t=255488
mian shi 	面試	c=37 d=0.0534033 t=255488
mian shi guan 	面試官	c=1 d=0.0227089 t=255488
mian shi ti 	面試題	c=1 d=0 t=255488
mian shi wan 	面試完	c=1 d=1.23494e-12 t=255488
mian shu 	面熟	c=1 d=0 t=255488
mian tiao 	麪條	c=12 d=0.0181334 t=255488
mian tuo 	麪拖	c=1 d=0.123687 t=255488
mian xiang 	面向	c=3 d=1.91825e-36 t=255488
mian yi 	面議	c=2 d=6.74418e-102 t=255488
mian yun fei 	免運費	c=1 d=0 t=255488
mian zhuang 	麪莊	c=1 d=3.4951e-16 t=255488
miao 	妙	c=1 d=6.61943e-147 t=255488
miao 	廟	c=1 d=3.66894e-87 t=255488
miao 	秒	c=5 d=2.04636e-130 t=255488
miao 	苗	c=1 d=0.410656 t=255488
miao bian 	描邊	c=5 d=3.95253e-323 t=255488
miao chuan 	秒傳	c=1 d=0 t=255488
miao fu 	秒付	c=1 d=2.83066e-06 t=255488
miao hua 	描畫	c=1 d=4.24908e-20 t=255488
miao miao 	苗苗	c=2 d=1.63582e-242 t=255488
miao shan 	廟山	c=1 d=3.97964e-14 t=255488
miao shu 	描述	c=36 d=0.668638 t=255488
miao shu 	秒數	c=1 d=4.8878e-138 t=255488
miao yi 	苗醫	c=1 d=0.0992613 t=255488
mie 	咩	c=2 d=1.64586e-09 t=255488
mie mie 	咩咩	c=1 d=1.80535e-97 t=255488
min 	民	c=2 d=1.64134e-06 t=255488
min fang 	民房	c=1 d=6.26173e-23 t=255488
min gan 	敏感	c=14 d=0.000193545 t=255488
min hang 	民航	c=24 d=1.77955e-16 t=255488
min sheng 	民生	c=34 d=5.69038e-15 t=255488
min su 	民宿	c=3 d=2.39839e-27 t=255488
min yong 	民用	c=1 d=1.47886e-250 t=255488
min yuan 	民院	c=1 d=3.12743e-120 t=255488
min zheng 	民政	c=1 d=8.46295e-302 t=255488
min zhu 	民主	c=2 d=6.03038e-63 t=255488
min zu 	民族	c=6 d=0.0208584 t=255488
min zu da dao 	民族大道	c=1 d=1.09585e-18 t=255488
ming 	名	c=46 d=0.565525 t=255488
ming 	命	c=1 d=0 t=255488
ming 	明	c=3 d=2.78994e-12 t=255488
ming bai 	明白	c=14 d=0.000256704 t=255488
ming bai le 	明白了	c=1 d=7.57403e-321 t=255488
ming cha qiu hao 	明察秋毫	c=1 d=0 t=255488
ming chao 	明朝	c=7 d=0.0811188 t=255488
ming cheng 	名稱	c=268 d=2.83796 t=255488
ming cheng cheng 	名稱成	c=1 d=0 t=255488
ming cheng ni 	名稱你	c=1 d=4.6966e-51 t=255488
ming chuang 	名創	c=2 d=1.86457e-65 t=255488
ming ci 	名詞	c=9 d=0.880697 t=255488
ming dan 	名單	c=8 d=0.00149716 t=255488
ming du 	明度	c=3 d=0 t=255488
ming e 	名額	c=3 d=3.26041e-20 t=255488
ming gui 	名貴	c=1 d=0 t=255488
ming hang 	名行	c=2 d=2.55298e-291 t=255488
ming lie 	名列	c=1 d=3.61836e-12 t=255488
ming ling 	命令	c=82 d=0.0770937 t=255488
ming ling hang 	命令行	c=7 d=0.878095 t=255488
ming ming 	命名	c=15 d=4.85826e-08 t=255488
ming ming 	明明	c=5 d=4.88261e-08 t=255488
ming mu 	明目	c=2 d=1.18362e-42 t=255488
ming mu zhang dan 	明目張膽	c=1 d=0 t=255488
ming nian 	明年	c=13 d=1.29512e-13 t=255488
ming pai 	名牌	c=1 d=2.74995e-283 t=255488
ming qi 	名氣	c=1 d=1.09076e-22 t=255488
ming que 	明確	c=9 d=7.26002e-28 t=255488
ming ri 	明日	c=1 d=0 t=255488
ming sheng 	名聲	c=1 d=2.4001e-06 t=255488
ming sheng 	明生	c=4 d=2.06708e-219 t=255488
ming shuo 	明說	c=1 d=3.38321e-280 t=255488
ming tian 	明天	c=212 d=0.951229 t=255488
ming tian fa 	明天發	c=1 d=0 t=255488
ming tian yan shou ha 	明天驗收哈	c=1 d=0 t=255488
ming wan 	明晚	c=1 d=3.59285e-17 t=255488
ming wang 	冥王	c=1 d=1.00618e-43 t=255488
ming wen 	明文	c=3 d=5.23372e-42 t=255488
ming xi 	明細	c=59 d=0.421052 t=255488
ming xia 	名下	c=2 d=0.000731802 t=255488
ming xian 	明顯	c=9 d=3.80299e-68 t=255488
ming xie 	鳴謝	c=4 d=0 t=255488
ming xing 	明星	c=1 d=6.19316e-158 t=255488
ming yi 	名義	c=2 d=3.84198e-206 t=255488
ming yi shang 	名義上	c=1 d=1.16536e-65 t=255488
ming zao 	明早	c=3 d=6.69094e-97 t=255488
ming zhong 	命中	c=7 d=2.24325e-05 t=255488
ming zi 	名字	c=48 d=4.2025e-08 t=255488
mo 	墨	c=2 d=7.28997e-47 t=255488
mo 	膜	c=7 d=0.0812682 t=255488
mo bai 	摩拜	c=14 d=1.47222 t=255488
mo bai 	膜拜	c=6 d=0.491744 t=255488
mo ban 	模板	c=206 d=1.09857e-05 t=255488
mo ban 	模版	c=1 d=9.98244e-186 t=255488
mo ban hao 	模板號	c=1 d=1.1345e-14 t=255488
mo ban hua 	模板話	c=1 d=0 t=255488
mo dao 	摸到	c=1 d=3.04175e-293 t=255488
mo deng 	摩登	c=1 d=4.75462e-19 t=255488
mo di 	摸底	c=1 d=1.64907e-120 t=255488
mo dian 	抹點	c=1 d=0 t=255488
mo dou 	魔豆	c=12 d=1.80318e-175 t=255488
mo fang 	模仿	c=1 d=6.10817e-25 t=255488
mo fang 	魔方	c=1 d=3.21753e-160 t=255488
mo gai 	魔改	c=1 d=2.56881e-158 t=255488
mo gu 	蘑菇	c=2 d=9.42727e-13 t=255488
mo gui 	魔鬼	c=2 d=1.33109e-188 t=255488
mo he 	墨盒	c=3 d=1.54846e-46 t=255488
mo hu 	模糊	c=3 d=3.41674e-249 t=255488
mo ji 	磨嘰	c=11 d=0.00067217 t=255488
mo jie 	魔界	c=2 d=0 t=255488
mo kuai 	模塊	c=114 d=1.53457 t=255488
mo kuai hua 	模塊化	c=2 d=1.06931e-53 t=255488
mo luo ge 	摩洛哥	c=1 d=1 t=251797
mo mo 	摸摸	c=1 d=1.31264e-24 t=255488
mo mo 	默默	c=1 d=0 t=255488
mo mo ji ji 	磨磨唧唧	c=1 d=2.41266e-273 t=255488
mo ni 	模擬	c=8 d=0.0548118 t=255488
mo ni qi 	模擬器	c=8 d=3.11329e-08 t=255488
mo ren 	默認	c=191 d=2.45313 t=255488
